grade_uid,card_uid,grade_cl_card_id,card_url,grader,grade,qualifier,grade_label_raw,population,sales_status,sales_count,eligible_for_model,exclusion_reason,player_id,player_name,sport,cl_card_id,card_year,card_set,card_number,parallel,serial,is_rookie,is_auto,title_raw,img_url,grade_numeric,search_text
fc79cf2d965139837e52,a1eab8ef04750307c63a,,,BGS,5.5,,BGS 5.5,,PENDING,0,1,,P0001,Michael Jordan,Basketball,DMSnuaEUetwX5SmZzH7V,1984,Star,101,Base,,0,0,1984 Star Michael Jordan #101 [Base] BGS 7.5,,5.5,Michael Jordan 1984 Star #101 Base BGS 5.5
60c3daba8af9bf64658c,a1eab8ef04750307c63a,,,BGS,6,,BGS 6,,PENDING,0,1,,P0001,Michael Jordan,Basketball,DMSnuaEUetwX5SmZzH7V,1984,Star,101,Base,,0,0,1984 Star Michael Jordan #101 [Base] BGS 7.5,,6.0,Michael Jordan 1984 Star #101 Base BGS 6
ab093c36a6d0363dea5f,a1eab8ef04750307c63a,,,BGS,6.5,,BGS 6.5,,PENDING,0,1,,P0001,Michael Jordan,Basketball,DMSnuaEUetwX5SmZzH7V,1984,Star,101,Base,,0,0,1984 Star Michael Jordan #101 [Base] BGS 7.5,,6.5,Michael Jordan 1984 Star #101 Base BGS 6.5
753f961b59ff22c00739,a1eab8ef04750307c63a,,,BGS,7,,BGS 7,,PENDING,0,1,,P0001,Michael Jordan,Basketball,DMSnuaEUetwX5SmZzH7V,1984,Star,101,Base,,0,0,1984 Star Michael Jordan #101 [Base] BGS 7.5,,7.0,Michael Jordan 1984 Star #101 Base BGS 7
1a344a4956bb1a8de89b,a1eab8ef04750307c63a,,,BGS,7.5,,BGS 7.5,,PENDING,0,1,,P0001,Michael Jordan,Basketball,DMSnuaEUetwX5SmZzH7V,1984,Star,101,Base,,0,0,1984 Star Michael Jordan #101 [Base] BGS 7.5,,7.5,Michael Jordan 1984 Star #101 Base BGS 7.5
d0749833ed33a5175362,a1eab8ef04750307c63a,,,BGS,8,,BGS 8,,PENDING,0,1,,P0001,Michael Jordan,Basketball,DMSnuaEUetwX5SmZzH7V,1984,Star,101,Base,,0,0,1984 Star Michael Jordan #101 [Base] BGS 7.5,,8.0,Michael Jordan 1984 Star #101 Base BGS 8
2ff93f853e2dd407b7f8,1e579480d23cbcdfa6ac,,,BGS,8,,BGS 8/Auto 10,,PENDING,0,1,,P0001,Michael Jordan,Basketball,i0A3JnAzLWlrch9tZMCW,1984,Star,101,Autograph,,0,1,1984 Star Michael Jordan #101 [Autograph] BGS 8.5/Auto 10,,8.0,Michael Jordan 1984 Star #101 Autograph BGS 8
a9f6c34458a153b0e6a3,a1eab8ef04750307c63a,,,BGS,8.5,,BGS 8.5,,PENDING,0,1,,P0001,Michael Jordan,Basketball,DMSnuaEUetwX5SmZzH7V,1984,Star,101,Base,,0,0,1984 Star Michael Jordan #101 [Base] BGS 7.5,,8.5,Michael Jordan 1984 Star #101 Base BGS 8.5
238c9f0fae3095da8383,1e579480d23cbcdfa6ac,,,BGS,8.5,,BGS 8.5/Auto 10,,PENDING,0,1,,P0001,Michael Jordan,Basketball,i0A3JnAzLWlrch9tZMCW,1984,Star,101,Autograph,,0,1,1984 Star Michael Jordan #101 [Autograph] BGS 8.5/Auto 10,,8.5,Michael Jordan 1984 Star #101 Autograph BGS 8.5
92da8ecf6aa003e76785,a1eab8ef04750307c63a,,,BGS,9,,BGS 9,,PENDING,0,1,,P0001,Michael Jordan,Basketball,DMSnuaEUetwX5SmZzH7V,1984,Star,101,Base,,0,0,1984 Star Michael Jordan #101 [Base] BGS 7.5,,9.0,Michael Jordan 1984 Star #101 Base BGS 9
